Predictor,scaled_importance,Response,approach
VD_small,1,Dkleaf_mean,unscaled
MST_large,0.767145245,Dkleaf_mean,unscaled
ER_medium,0.583898667,Dkleaf_mean,unscaled
MST_small,0.428284751,Dkleaf_mean,unscaled
MST_medium,0.273253243,Dkleaf_mean,unscaled
VD_large,0.216743558,Dkleaf_mean,unscaled
ER_large,0.186324691,Dkleaf_mean,unscaled
VD_medium,0.150922276,Dkleaf_mean,unscaled
ER_small,0.118515679,Dkleaf_mean,unscaled
clade2,0.073827382,Dkleaf_mean,unscaled
ER_small,1,e_L,unscaled
ER_medium,0.727413058,e_L,unscaled
MST_small,0.295510598,e_L,unscaled
VD_medium,0.260819761,e_L,unscaled
MST_medium,0.240828817,e_L,unscaled
VD_small,0.072784694,e_L,unscaled
MST_large,0.070149006,e_L,unscaled
ER_large,0.04463255,e_L,unscaled
clade2,0.034151129,e_L,unscaled
VD_large,0.010341929,e_L,unscaled
ER_small,1,e_W,unscaled
ER_medium,0.533087839,e_W,unscaled
MST_medium,0.428117187,e_W,unscaled
VD_small,0.264288603,e_W,unscaled
VD_medium,0.172855276,e_W,unscaled
MST_small,0.106097801,e_W,unscaled
VD_large,0.066768435,e_W,unscaled
MST_large,0.04999424,e_W,unscaled
clade2,0.035266562,e_W,unscaled
ER_large,0.03294222,e_W,unscaled
MST_medium,1,ISI,unscaled
ER_medium,0.852523948,ISI,unscaled
clade2,0.747573304,ISI,unscaled
VD_small,0.625597493,ISI,unscaled
VD_medium,0.559044941,ISI,unscaled
VD_large,0.549964489,ISI,unscaled
ER_large,0.531292889,ISI,unscaled
ER_small,0.494300271,ISI,unscaled
MST_small,0.413076777,ISI,unscaled
MST_large,0.410130295,ISI,unscaled
ER_medium,1,Kleaf_max,unscaled
MST_medium,0.805487159,Kleaf_max,unscaled
VD_large,0.686356012,Kleaf_max,unscaled
VD_medium,0.662904836,Kleaf_max,unscaled
ER_large,0.520609553,Kleaf_max,unscaled
ER_small,0.513438604,Kleaf_max,unscaled
MST_large,0.256572263,Kleaf_max,unscaled
VD_small,0.227473985,Kleaf_max,unscaled
MST_small,0.117811519,Kleaf_max,unscaled
clade2,0,Kleaf_max,unscaled
VD_small,1,LMA,unscaled
MST_medium,0.872278247,LMA,unscaled
MST_small,0.77922477,LMA,unscaled
VD_large,0.712995641,LMA,unscaled
MST_large,0.710565075,LMA,unscaled
ER_large,0.698186329,LMA,unscaled
VD_medium,0.696732435,LMA,unscaled
clade2,0.435861785,LMA,unscaled
ER_small,0.430192168,LMA,unscaled
ER_medium,0.390768828,LMA,unscaled
clade2,1,P50,unscaled
VD_small,0.895078435,P50,unscaled
ER_large,0.465416316,P50,unscaled
ER_medium,0.443910497,P50,unscaled
VD_large,0.40266194,P50,unscaled
MST_medium,0.365905212,P50,unscaled
MST_small,0.336273414,P50,unscaled
VD_medium,0.318184039,P50,unscaled
ER_small,0.257156746,P50,unscaled
MST_large,0.164175491,P50,unscaled
ER_large,1,P88,unscaled
VD_large,0.964224553,P88,unscaled
VD_small,0.878236947,P88,unscaled
VD_medium,0.420889674,P88,unscaled
MST_medium,0.267344329,P88,unscaled
clade2,0.210205969,P88,unscaled
MST_small,0.209856036,P88,unscaled
ER_medium,0.120038053,P88,unscaled
MST_large,0.078468774,P88,unscaled
ER_small,0.015083611,P88,unscaled
VD_small,1,Phe,unscaled
VD_medium,0.806875148,Phe,unscaled
MST_small,0.708779129,Phe,unscaled
MST_large,0.624306095,Phe,unscaled
ER_medium,0.548273285,Phe,unscaled
ER_large,0.486236314,Phe,unscaled
ER_small,0.46766088,Phe,unscaled
clade2,0.438028626,Phe,unscaled
MST_medium,0.410888091,Phe,unscaled
VD_large,0.212691588,Phe,unscaled
ER_small,1,SWP_L,unscaled
MST_medium,0.999160394,SWP_L,unscaled
VD_small,0.896104419,SWP_L,unscaled
ER_medium,0.557222656,SWP_L,unscaled
ER_large,0.453350455,SWP_L,unscaled
MST_large,0.391826578,SWP_L,unscaled
VD_large,0.385472093,SWP_L,unscaled
MST_small,0.297254002,SWP_L,unscaled
VD_medium,0.254517228,SWP_L,unscaled
clade2,0.157474675,SWP_L,unscaled
MST_medium,1,SWP_M,unscaled
ER_small,0.930977169,SWP_M,unscaled
ER_medium,0.863751649,SWP_M,unscaled
VD_medium,0.842827146,SWP_M,unscaled
ER_large,0.675653559,SWP_M,unscaled
clade2,0.636784716,SWP_M,unscaled
VD_small,0.282672634,SWP_M,unscaled
VD_large,0.214338733,SWP_M,unscaled
MST_small,0.125581358,SWP_M,unscaled
MST_large,0.0188532,SWP_M,unscaled
clade2,1,SWS_L,unscaled
ER_medium,0.197907232,SWS_L,unscaled
VD_large,0.196882739,SWS_L,unscaled
VD_medium,0.19093778,SWS_L,unscaled
ER_small,0.190844819,SWS_L,unscaled
VD_small,0.172195967,SWS_L,unscaled
MST_medium,0.158785741,SWS_L,unscaled
MST_large,0.133734536,SWS_L,unscaled
ER_large,0.107735381,SWS_L,unscaled
MST_small,0.076353127,SWS_L,unscaled
VD_small,1,SWS_M,unscaled
VD_large,0.634713293,SWS_M,unscaled
ER_medium,0.327075724,SWS_M,unscaled
ER_large,0.325988368,SWS_M,unscaled
VD_medium,0.309626474,SWS_M,unscaled
MST_medium,0.251994221,SWS_M,unscaled
clade2,0.16317742,SWS_M,unscaled
MST_large,0.122044013,SWS_M,unscaled
MST_small,0.083438106,SWS_M,unscaled
ER_small,0.081117372,SWS_M,unscaled
VD_small,1,Dkleaf_mean,scaled
MST_large,0.691780899,Dkleaf_mean,scaled
ER_medium,0.610036331,Dkleaf_mean,scaled
MST_small,0.303200542,Dkleaf_mean,scaled
VD_large,0.260404083,Dkleaf_mean,scaled
MST_medium,0.252951852,Dkleaf_mean,scaled
ER_large,0.247752947,Dkleaf_mean,scaled
VD_medium,0.148540808,Dkleaf_mean,scaled
ER_small,0.137258648,Dkleaf_mean,scaled
clade2,0.103258836,Dkleaf_mean,scaled
VD_small,1,e_L,scaled
ER_large,0.759890455,e_L,scaled
ER_medium,0.429867343,e_L,scaled
VD_large,0.353731554,e_L,scaled
VD_medium,0.325007197,e_L,scaled
MST_small,0.282134997,e_L,scaled
clade2,0.280178209,e_L,scaled
MST_medium,0.273451701,e_L,scaled
ER_small,0.171346034,e_L,scaled
MST_large,0.115476223,e_L,scaled
ER_medium,1,e_W,scaled
MST_small,0.7512409,e_W,scaled
VD_medium,0.750242838,e_W,scaled
VD_small,0.661393493,e_W,scaled
VD_large,0.503239363,e_W,scaled
MST_medium,0.455745198,e_W,scaled
ER_small,0.425626748,e_W,scaled
ER_large,0.412214595,e_W,scaled
clade2,0.398695137,e_W,scaled
MST_large,0.332692383,e_W,scaled
ER_small,1,ISI,scaled
VD_small,0.980701377,ISI,scaled
clade2,0.894498944,ISI,scaled
VD_medium,0.854992581,ISI,scaled
VD_large,0.839915425,ISI,scaled
MST_medium,0.352268864,ISI,scaled
ER_medium,0.271213442,ISI,scaled
ER_large,0.234094357,ISI,scaled
MST_large,0.204034959,ISI,scaled
MST_small,0.114369001,ISI,scaled
VD_medium,1,Kleaf_max,scaled
VD_large,0.855755556,Kleaf_max,scaled
ER_medium,0.78121066,Kleaf_max,scaled
ER_large,0.747842368,Kleaf_max,scaled
VD_small,0.665551129,Kleaf_max,scaled
MST_medium,0.613311304,Kleaf_max,scaled
MST_large,0.545488204,Kleaf_max,scaled
ER_small,0.464546343,Kleaf_max,scaled
MST_small,0.218817542,Kleaf_max,scaled
clade2,0.033491096,Kleaf_max,scaled
VD_small,1,LMA,scaled
VD_medium,0.682752754,LMA,scaled
VD_large,0.64329922,LMA,scaled
ER_large,0.630067052,LMA,scaled
ER_medium,0.503245793,LMA,scaled
MST_small,0.42616137,LMA,scaled
MST_medium,0.381182299,LMA,scaled
ER_small,0.316016538,LMA,scaled
MST_large,0.305454193,LMA,scaled
clade2,0.176496589,LMA,scaled
VD_small,1,P50,scaled
clade2,0.899915062,P50,scaled
MST_medium,0.573130573,P50,scaled
ER_large,0.541232758,P50,scaled
MST_small,0.361387456,P50,scaled
ER_medium,0.31882467,P50,scaled
VD_medium,0.280571291,P50,scaled
ER_small,0.249636395,P50,scaled
MST_large,0.106234644,P50,scaled
VD_large,0.084684575,P50,scaled
VD_large,1,P88,scaled
VD_small,0.8894797,P88,scaled
ER_large,0.873870098,P88,scaled
VD_medium,0.296703414,P88,scaled
MST_small,0.292168568,P88,scaled
MST_medium,0.193866582,P88,scaled
ER_medium,0.176826629,P88,scaled
MST_large,0.152916897,P88,scaled
ER_small,0.132631003,P88,scaled
clade2,0.126263912,P88,scaled
VD_small,1,Phe,scaled
ER_medium,0.734861515,Phe,scaled
VD_large,0.676065245,Phe,scaled
ER_large,0.384076618,Phe,scaled
MST_small,0.356290011,Phe,scaled
ER_small,0.321121435,Phe,scaled
VD_medium,0.266482468,Phe,scaled
clade2,0.187764766,Phe,scaled
MST_medium,0.164567411,Phe,scaled
MST_large,0.028947908,Phe,scaled
MST_small,1,SWP_L,scaled
MST_medium,0.29467135,SWP_L,scaled
ER_medium,0.220002885,SWP_L,scaled
VD_medium,0.18260442,SWP_L,scaled
ER_small,0.149151516,SWP_L,scaled
ER_large,0.114500801,SWP_L,scaled
VD_small,0.095580642,SWP_L,scaled
clade2,0.084770576,SWP_L,scaled
MST_large,0.069740102,SWP_L,scaled
VD_large,0.05185182,SWP_L,scaled
MST_small,1,SWP_M,scaled
VD_large,0.985732691,SWP_M,scaled
VD_medium,0.970286618,SWP_M,scaled
VD_small,0.946775158,SWP_M,scaled
MST_large,0.878108672,SWP_M,scaled
ER_large,0.877760211,SWP_M,scaled
ER_medium,0.873161309,SWP_M,scaled
ER_small,0.839473351,SWP_M,scaled
clade2,0.458849367,SWP_M,scaled
MST_medium,0.165886272,SWP_M,scaled
clade2,1,SWS_L,scaled
VD_small,0.845465942,SWS_L,scaled
MST_small,0.558181041,SWS_L,scaled
VD_large,0.557576761,SWS_L,scaled
ER_small,0.530585304,SWS_L,scaled
VD_medium,0.496479584,SWS_L,scaled
ER_large,0.491265355,SWS_L,scaled
MST_large,0.459709387,SWS_L,scaled
MST_medium,0.423291068,SWS_L,scaled
ER_medium,0.170145595,SWS_L,scaled
MST_large,1,SWS_M,scaled
MST_medium,0.523403365,SWS_M,scaled
ER_medium,0.411176915,SWS_M,scaled
VD_medium,0.404599605,SWS_M,scaled
ER_small,0.33486903,SWS_M,scaled
MST_small,0.321274775,SWS_M,scaled
VD_small,0.200221933,SWS_M,scaled
VD_large,0.17842861,SWS_M,scaled
ER_large,0.174680668,SWS_M,scaled
clade2,0.161622229,SWS_M,scaled
